"Time (m)",DMSO,DMSO,DMSO,FCCP,FCCP,FCCP,"BimBH3 - 10uM","BimBH3 - 10uM","BimBH3 - 10uM","BidBH3 - 3uM","BidBH3 - 3uM","BidBH3 - 3uM"
0,29.66152,5.213972,3,13.60397,2.218681,3,25.78152,0.291750,3,27.78342,1.419497,3
5,38.05610,4.989317,3,12.80990,1.188318,3,31.15374,0.870357,3,35.05381,2.294854,3
10,48.12134,7.130906,3,12.46863,1.230703,3,36.00959,0.499301,3,45.00753,3.903618,3
15,54.83187,7.195209,3,12.86009,0.082207,3,36.55495,0.772220,3,53.19801,4.778974,3
20,60.06580,2.797827,3,13.08983,0.287671,3,34.64674,1.271611,3,60.13495,3.115008,3
25,65.77706,2.951388,3,13.04745,0.085180,3,31.88201,1.758947,3,66.62689,3.438338,3
30,71.78944,1.823797,3,12.93481,0.238242,3,29.00686,1.854368,3,72.71065,3.138666,3
35,77.06351,1.297017,3,12.80210,0.151419,3,26.31573,1.748901,3,78.20666,2.831108,3
40,81.32716,0.892233,3,12.70061,0.085180,3,23.99264,1.483522,3,83.17404,3.367363,3
45,85.16478,0.818256,3,12.57904,0.153323,3,22.22049,1.122876,3,87.53248,4.597594,3
50,88.60536,1.054164,3,12.46640,0.048613,3,20.97028,1.152288,3,91.08348,3.327933,3
55,91.27196,0.908397,3,12.38833,0.069648,3,20.02119,1.077311,3,93.91067,3.714351,3
60,94.46272,1.433549,3,12.29688,0.071701,3,19.24608,0.846008,3,96.08654,4.920923,3
65,97.74494,6.080819,3,12.25785,0.133055,3,18.59142,0.936909,3,98.00145,6.293104,3
70,98.52339,6.298442,3,12.23331,0.191336,3,18.02822,0.704501,3,99.96989,7.223664,3
75,97.79847,2.611453,3,12.10840,0.239284,3,17.56873,0.648900,3,101.40410,7.823007,3
80,98.55350,2.501082,3,12.01361,0.099960,3,17.21965,0.469515,3,102.05100,7.515450,3
85,99.09998,5.382040,3,11.99242,0.178906,3,16.88730,0.696243,3,102.35100,8.587959,3
90,98.86578,1.783630,3,11.94111,0.052705,3,16.52038,0.507700,3,102.56510,8.414464,3
95,100.00000,7.722138,3,11.87531,0.061424,3,16.22038,0.459970,3,102.72240,8.540641,3
100,99.28846,6.173865,3,11.82178,0.114462,3,15.96610,0.535365,3,102.60860,9.463315,3
105,97.20181,1.582822,3,11.75821,0.106389,3,15.71182,0.357812,3,102.16700,10.204610,3
110,96.63637,5.012287,3,11.71360,0.061424,3,15.48876,0.351676,3,101.74430,9.100554,3
115,95.34266,1.261595,3,11.67903,0.033458,3,15.28356,0.401959,3,101.14200,8.351376,3
120,94.27759,2.155459,3,11.61211,0.051108,3,15.07835,0.315510,3,100.10040,8.020159,3
125,93.87609,1.551298,3,11.57754,0.111712,3,14.88652,0.375288,3,99.03641,7.373499,3
130,92.36491,2.370565,3,11.56192,0.117500,3,14.69581,0.373738,3,98.07171,7.712601,3
135,91.49055,4.228733,3,11.54520,0.078068,3,14.51291,0.278667,3,97.13378,8.059590,3
140,91.99465,0.621986,3,11.51620,0.122340,3,14.37350,0.302837,3,96.33525,7.570652,3
145,92.04595,0.859621,3,11.45374,0.089221,3,14.28874,0.231355,3,95.80215,8.430236,3
150,91.42586,0.735594,3,11.38683,0.056134,3,14.23409,0.195197,3,95.30921,7.846665,3
155,90.73998,0.505203,3,11.32660,0.006439,3,14.11253,0.259882,3,94.42703,7.744147,3
160,90.30056,0.772220,3,11.29092,0.151419,3,13.91847,0.373738,3,93.57386,7.278867,3
165,90.16116,1.233681,3,11.27976,0.086627,3,13.75899,0.215393,3,92.93816,6.671637,3
170,89.68717,2.321497,3,11.25634,0.150043,3,13.64524,0.307119,3,92.19205,6.285218,3
175,89.40724,3.502776,3,11.20058,0.035851,3,13.53817,0.268899,3,91.48832,5.323115,3
