"Time (m)",DMSO,DMSO,DMSO,FCCP,FCCP,FCCP,"BIM (30nM)","BIM (30nM)","BIM (30nM)","tBID (30nM)","tBID (30nM)","tBID (30nM)"
0,13.32479,0.884045,3,12.92624,0.615848,3,11.40263,0.257292,3,13.17276,1.487772,3
5,18.04222,1.045971,3,12.93276,0.164336,3,15.33708,0.379363,3,18.03788,2.074193,3
10,26.73320,0.543887,3,13.29004,0.266965,3,22.32527,1.054356,3,26.73646,3.355632,3
15,36.36028,1.387714,3,13.82325,0.277789,3,28.49572,0.918288,3,36.41241,3.648842,3
20,45.53668,1.728880,3,14.20225,0.369441,3,31.82638,1.418601,3,45.84944,4.571913,3
25,54.13644,2.523702,3,14.42487,0.309643,3,32.91343,1.222873,3,54.60232,2.628035,3
30,62.12154,2.830815,3,14.51827,0.298262,3,32.84827,1.402031,3,62.68190,3.572825,3
35,69.50610,3.389191,3,14.52804,0.306068,3,32.19995,1.424823,3,70.08818,3.149298,3
40,76.04904,4.014993,3,14.49220,0.370557,3,31.17588,1.335914,3,76.47365,3.724860,3
45,81.47127,3.845609,3,14.38686,0.437407,3,29.85752,1.156047,3,81.46909,2.877807,3
50,85.97802,4.550211,3,14.21420,0.213635,3,28.42296,0.991802,3,85.09622,3.420790,3
55,89.91790,4.360408,3,14.04804,0.342093,3,27.13066,0.908389,3,87.12697,4.159246,3
60,93.30937,4.765482,3,13.91230,0.374986,3,26.07945,0.826071,3,87.65909,4.908562,3
65,95.93198,4.947001,3,13.75592,0.468142,3,25.21719,0.683238,3,87.11611,5.733895,3
70,97.80526,6.035047,3,13.62234,0.308179,3,24.51240,0.685306,3,85.48716,6.233439,3
75,98.84779,5.109890,3,13.52895,0.421899,3,23.95856,0.525020,3,83.22836,6.787281,3
80,99.42987,3.773073,3,13.42904,0.335128,3,23.40798,0.474729,3,80.62204,7.829808,3
85,99.97719,5.129358,3,13.32262,0.471364,3,22.81938,0.521075,3,77.61392,9.219843,3
90,100.00000,4.839409,3,13.23357,0.367681,3,22.30138,0.608657,3,74.58408,7.699492,3
95,99.76543,5.664287,3,13.18144,0.443521,3,21.85396,0.648070,3,71.76057,8.524825,3
100,99.59168,4.927701,3,13.10543,0.458855,3,21.53360,0.463331,3,69.15425,7.069632,3
105,99.13123,4.066999,3,12.98923,0.423573,3,21.26537,0.552705,3,66.72169,7.808088,3
110,98.38083,4.374058,3,12.91864,0.412714,3,20.91677,0.579679,3,64.58234,8.025281,3
115,97.25577,3.731155,3,12.87520,0.481145,3,20.58229,0.516757,3,62.59502,7.710351,3
120,96.14374,3.518644,3,12.80461,0.650764,3,20.33361,0.546447,3,60.70544,7.547457,3
125,95.21415,3.483376,3,12.71991,0.541932,3,20.10447,0.531605,3,59.13079,7.514878,3
130,94.11298,3.423139,3,12.66344,0.456148,3,19.83298,0.656478,3,57.72990,7.362843,3
135,92.97055,3.029025,3,12.61023,0.542149,3,19.52782,0.617792,3,56.28557,7.384562,3
140,91.97472,2.551494,3,12.53312,0.457697,3,19.22267,0.499583,3,54.77607,6.700404,3
145,91.32857,3.304374,3,12.48208,0.468016,3,18.94792,0.299642,3,53.41862,7.015334,3
150,90.85074,3.450863,3,12.45385,0.519715,3,18.74158,0.354065,3,52.37609,6.863299,3
155,90.38812,3.016684,3,12.40172,0.401122,3,18.56566,0.336532,3,51.45302,7.037053,3
160,89.80605,4.146400,3,12.33330,0.387057,3,18.36258,0.349539,3,50.55167,6.613527,3
165,88.86452,3.529810,3,12.27466,0.470738,3,18.14865,0.466965,3,49.79149,7.134790,3
170,88.21728,3.103068,3,12.22579,0.467890,3,17.92711,0.326934,3,48.92272,6.809000,3
175,88.00443,4.505027,3,12.19756,0.532935,3,17.71426,0.380139,3,47.92363,7.058772,3
