"Time (m)",DMSO,DMSO,DMSO,FCCP,FCCP,FCCP,"BimBH3 - 10uM","BimBH3 - 10uM","BimBH3 - 10uM","BidBH3 - 3uM","BidBH3 - 3uM","BidBH3 - 3uM"
0,31.07587,8.759688,3,16.42534,1.042830,3,29.15826,1.779998,3,28.21539,1.436210,3
5,39.19354,1.133253,3,15.68662,1.023261,3,35.25094,1.260647,3,34.47800,2.424063,3
10,49.21231,1.492508,3,15.01398,0.963905,3,43.38868,2.678942,3,42.88715,4.265028,3
15,57.08335,2.208249,3,14.80865,0.818935,3,50.38647,3.141511,3,49.18870,4.660903,3
20,64.28883,2.853574,3,14.70127,0.831284,3,56.31512,3.225620,3,52.73716,5.199720,3
25,71.06359,4.842357,3,14.54314,0.630756,3,61.33159,3.461566,3,53.26583,4.912767,3
30,76.98281,4.443547,3,14.36495,0.844716,3,65.62703,4.404483,3,50.73931,5.037741,3
35,81.82580,6.370438,3,14.12893,0.682945,3,68.93947,4.041970,3,45.82788,3.744295,3
40,85.63387,6.552974,3,13.82330,0.492575,3,71.13558,3.083588,3,39.90984,2.620606,3
45,88.61472,6.691448,3,13.55896,0.558385,3,72.26018,3.458266,3,34.13932,2.346087,3
50,91.26161,7.965474,3,13.36897,0.507886,3,72.43011,2.245922,3,29.33409,2.125212,3
55,93.76689,8.307767,3,13.16836,0.479490,3,71.82946,2.808632,3,25.89184,1.832500,3
60,95.79542,9.230852,3,12.96657,0.548741,3,71.07185,2.196836,3,23.65797,1.815399,3
65,97.08642,9.317356,3,12.80962,0.507474,3,69.87527,4.035016,3,22.17109,1.764637,3
70,98.35027,11.074390,3,12.65267,0.580196,3,67.27794,1.816471,3,21.10195,1.874201,3
75,99.59288,10.570650,3,12.50988,0.622236,3,64.10474,1.976544,3,20.32546,1.658276,3
80,100.00000,10.231760,3,12.40958,0.537200,3,61.67735,1.608545,3,19.69413,1.632719,3
85,99.91622,10.811170,3,12.31753,0.556678,3,59.57211,2.196710,3,19.18788,1.805013,3
90,99.86075,10.259810,3,12.22785,0.611627,3,56.84615,1.736315,3,18.80790,1.669589,3
95,99.85839,9.208581,3,12.18654,0.694169,3,53.95617,1.706056,3,18.47748,1.735580,3
100,99.70734,9.846961,3,12.14996,0.328940,3,51.76007,1.948087,3,18.13762,1.659508,3
105,99.19992,9.903161,3,12.04022,0.672776,3,49.85780,1.090801,3,17.81664,1.587851,3
110,98.34437,8.945435,3,11.95879,0.609879,3,47.54251,1.789386,3,17.55703,1.571763,3
115,97.92780,8.793799,3,11.92221,0.572788,3,45.22604,1.373261,3,17.28207,1.617609,3
120,98.05525,6.662562,3,11.86675,0.547047,3,43.21639,1.605598,3,17.03190,1.537819,3
125,97.71303,6.766230,3,11.81128,0.585928,3,41.35306,1.388789,3,16.82421,1.601474,3
130,97.32715,5.838888,3,11.74461,0.736951,3,39.56408,1.543182,3,16.60589,1.567846,3
135,96.85630,4.326598,3,11.68856,0.689540,3,37.84119,1.506469,3,16.41236,1.611644,3
140,95.88983,4.550259,3,11.65020,0.651749,3,36.22332,1.738200,3,16.20821,1.441485,3
145,95.14521,3.902477,3,11.59120,0.579556,3,34.68923,1.661674,3,16.01232,1.383516,3
150,95.17235,4.975199,3,11.54010,0.751391,3,33.31445,1.699965,3,15.88015,1.507963,3
155,95.85325,4.307263,3,11.51060,0.649680,3,32.04824,1.451674,3,15.73972,1.431970,3
160,95.78952,4.065569,3,11.48500,0.704721,3,30.83041,1.441292,3,15.59812,1.397785,3
165,95.11689,3.141379,3,11.48594,0.645307,3,29.77779,1.524175,3,15.49073,1.416277,3
170,94.81361,3.191296,3,11.48004,0.755826,3,28.84318,1.444750,3,15.41403,1.416277,3
175,94.51505,3.312485,3,11.42304,0.702148,3,28.11862,1.399312,3,15.35148,1.390092,3
