"Time (m)",DMSO,DMSO,DMSO,FCCP,FCCP,FCCP,"BimL (30nM)","BimL (30nM)","BimL (30nM)","tBid (30nM)","tBid (30nM)","tBid (30nM)"
0,11.33738,0.373521,3,12.53848,0.389585,3,11.26377,0.736049,3,11.35299,0.568765,3
5,14.71205,0.604090,3,12.79498,0.337221,3,14.60945,1.126377,3,15.04439,0.635678,3
10,22.03127,0.840665,3,13.22322,0.389744,3,21.90302,1.260204,3,22.95133,1.081768,3
15,31.05902,1.207446,3,13.66485,0.488964,3,31.15939,2.007405,3,32.60918,1.706294,3
20,39.82134,1.741671,3,14.23362,0.466043,3,40.19271,3.133782,3,41.89901,2.118928,3
25,47.66026,2.335469,3,14.68528,0.977355,3,47.95468,3.312218,3,50.31895,2.587322,3
30,54.44194,2.383082,3,14.68528,0.525814,3,53.77615,3.791765,3,57.90248,3.390284,3
35,60.59687,2.239647,3,14.61391,0.580881,3,57.28911,4.862381,3,64.42655,3.345675,3
40,66.26890,1.982751,3,14.64514,0.435128,3,58.81697,4.862381,3,69.73502,2.654236,3
45,71.60191,1.957291,3,14.60833,0.521221,3,59.02886,5.397689,3,73.63831,1.884730,3
50,76.58473,2.278504,3,14.56818,0.415836,3,58.12553,4.594727,3,74.54164,2.018557,3
55,80.76460,0.590689,3,14.54253,0.368924,3,56.37463,4.371682,3,70.59375,3.925592,3
60,84.58090,0.671193,3,14.47339,0.296952,3,54.14418,3.724852,3,62.21841,4.037115,3
65,87.73810,0.920687,3,14.36075,0.230450,3,51.15537,4.416291,3,52.06986,4.817772,3
70,90.08676,1.256863,3,14.27042,0.273249,3,48.66842,5.029665,3,42.83579,4.472052,3
75,92.27707,4.416411,3,14.23473,0.267654,3,46.49373,3.356827,3,35.96601,2.966499,3
80,93.95325,5.066519,3,14.17228,0.383579,3,43.96217,4.226703,3,31.47165,2.542713,3
85,95.40639,5.490910,3,14.07749,0.204525,3,41.79863,2.174689,3,28.59437,2.040862,3
90,96.71009,5.180488,3,14.01726,0.359707,3,39.02172,3.401436,3,26.67618,1.449793,3
95,97.34019,6.906630,3,13.98269,0.267731,3,36.44555,3.278762,3,25.31561,1.070616,3
100,97.74501,6.636925,3,14.04626,0.432836,3,35.05152,3.156087,3,24.28960,1.081768,3
105,98.13757,7.675759,3,14.16893,0.541315,3,33.98091,2.988803,3,23.43088,1.126377,3
110,98.45764,6.122751,3,14.08752,0.844435,3,32.78762,2.408886,3,22.70598,0.680287,3
115,99.02195,6.713230,3,13.94812,0.329133,3,31.79507,2.832672,3,22.13722,0.836419,3
120,99.30521,6.848370,3,13.97154,0.644937,3,31.30437,1.126377,3,21.76919,0.780658,3
125,98.24910,5.904191,3,13.97823,0.065346,3,30.49025,1.293661,3,21.45693,0.981398,3
130,97.04688,4.117492,3,13.91801,0.234993,3,29.64268,2.196993,3,21.03314,0.736049,3
135,97.57550,7.541990,3,13.88790,0.380050,3,29.10737,1.360575,3,20.70973,0.736049,3
140,98.19891,6.622264,3,13.95481,0.184040,3,27.91408,1.840121,3,20.46438,1.092921,3
145,98.48887,4.632967,3,14.00500,0.423834,3,26.64273,2.319668,3,20.02944,0.814114,3
150,98.71638,11.871490,3,13.91020,0.289744,3,26.12972,2.330820,3,19.67257,0.680287,3
155,97.70487,4.872540,3,13.83102,0.139440,3,25.67248,2.219298,3,19.46068,1.059464,3
160,98.48887,4.623380,3,13.95927,0.161355,3,25.23754,2.263907,3,19.21533,0.758353,3
165,100.00000,10.372180,3,14.24812,0.970588,3,24.98104,1.639381,3,19.01459,0.769505,3
170,98.84240,7.150914,3,14.31614,0.896792,3,24.46804,2.464647,3,18.94767,0.836419,3
175,97.83981,5.213162,3,14.14998,1.042621,3,23.77660,2.185841,3,18.92537,1.293661,3
