Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01,tBid100,tBid30,tBid10,tBid3
0,2606,1550,2166,2578,2738,2737,2798,2867,2799,2800,2733,2795,2821,2797,2767,2766,2748,2815,2729,2779,2839,2806,2813,2666
5,3391,1452,1704,2134,2965,3515,3608,3658,3551,3596,3553,3129,3367,3571,3648,3587,3598,3661,3560,3951,3740,3521,3695,3615
10,4452,1514,1588,1973,2787,4359,4567,4523,4480,4591,4484,2978,3494,4320,4637,4542,4608,4518,4545,4996,4801,4821,4797,4767
15,5637,1545,1566,1850,2644,4929,5555,5517,5627,5754,5551,2800,3430,4770,5787,5711,5466,5585,5495,6149,5807,5990,5921,6030
20,6928,1580,1557,1806,2472,5386,6403,6418,6608,7054,6594,2713,3322,5057,6989,6872,6363,6651,6406,7126,5661,6862,7009,7185
25,7788,1601,1522,1735,2284,5409,7098,7330,7514,8036,7519,2597,3325,5164,7857,7759,7240,7471,7085,8383,4722,6511,7921,8026
30,8335,1588,1531,1684,2141,5436,7733,8150,8183,8866,8243,2526,3190,5046,8475,8482,8116,8242,7871,9386,4189,5539,8269,8785
35,8743,1609,1497,1675,2038,5200,8057,8505,8630,9573,8930,2448,3090,4973,8740,9220,8505,8809,8180,10123,3553,4782,7897,9369
40,9208,1608,1479,1636,1968,4915,8193,8927,9161,10139,9349,2313,2934,4777,9068,9602,8906,9085,8302,10745,3342,4263,7274,9350
45,9505,1608,1492,1602,1917,4734,8256,9192,9228,10402,9676,2356,2927,4603,9043,9856,9127,9371,8571,11146,3149,3932,6657,9526
50,9626,1604,1488,1603,1865,4666,8255,9443,9589,10831,9848,2278,2962,4420,9090,9925,9481,9875,8684,11687,2867,3692,6190,9583
55,9628,1596,1476,1578,1843,4383,8354,9437,9713,10904,10182,2208,2664,4363,9049,10193,9643,9689,8828,11530,2729,3458,5771,9646
60,9708,1605,1465,1583,1797,4283,8073,9558,9526,11005,10313,2169,2632,4162,9036,10208,9672,9814,8567,11955,2544,3295,5473,9309
65,9817,1602,1466,1574,1797,4131,7987,9529,10152,11199,10513,2092,2742,4056,9018,10459,9676,9978,8670,12430,2472,3279,5229,9004
70,9766,1597,1440,1575,1779,3977,7906,9376,10159,11309,10499,2137,2614,3919,9276,10424,9607,9673,8759,12321,2340,3396,4932,8141
75,9831,1584,1461,1554,1771,3872,7781,9429,10355,11410,10621,2018,2644,3832,10059,10291,9668,9790,8664,12376,2277,3041,4742,8046
80,10211,1586,1454,1531,1721,3825,7595,9438,10195,11340,10611,2054,2376,3736,9403,10730,9893,9807,8393,12284,2189,3140,4548,7602
85,10063,1590,1435,1532,1739,3650,7452,9252,10282,11422,10541,1998,2531,3641,9075,10727,9755,9787,8464,11929,2180,2751,4381,7547
90,10066,1582,1426,1545,1688,3549,7538,9187,10257,11391,10552,1918,2305,3594,9073,10528,9483,9813,8194,12343,2103,2646,4219,7564
95,9999,1585,1432,1528,1690,3522,7142,9131,10020,11464,10580,1976,2276,3461,8832,10716,9528,9734,8142,11651,2093,2599,4055,7200
100,9962,1574,1392,1515,1689,3413,7143,8976,10331,11416,10461,1916,2142,3368,9119,10580,9421,9635,8145,11897,2093,2921,3923,8014
105,9920,1574,1380,1472,1655,3321,7089,8954,10440,11343,10500,1891,2296,3266,8751,10267,9689,9890,7880,12305,1996,2483,3824,7913
110,9869,1551,1361,1453,1644,3292,6747,8944,10058,11296,10506,1902,2170,3203,8562,10213,9555,9835,7784,12243,2007,2467,3716,7274
115,9726,1499,1380,1386,1628,3162,6545,8560,10223,11214,10598,1822,2138,3182,8685,10609,9218,9540,7895,12231,1986,2381,3613,6407
120,9654,1518,1342,1423,1540,3104,6503,8587,9810,11182,10484,1807,2111,3073,8481,10080,9161,9221,7766,12101,1953,2358,3506,6082
125,9678,1452,1430,1413,1597,3081,6499,8476,9528,11131,10503,1798,2043,3037,8292,9556,9130,9726,8815,12039,1907,2339,3450,8201
130,9667,1387,1405,1413,1504,3009,6405,8391,9791,11132,10943,1789,2035,2924,8398,9617,8975,9694,7408,11968,1897,2299,3350,6826
135,9521,1377,1310,1399,1517,2899,6158,8284,9396,10987,10937,1892,1959,2898,8327,10188,9203,10917,6751,11785,1863,2274,3244,6068
140,11891,1362,1306,1392,1460,2798,5934,8264,9574,10996,10915,1814,2003,2820,8824,9526,8974,9071,7619,11712,1853,2237,3168,5081
145,9391,1335,1254,1399,1473,2803,6013,8094,9273,10931,10823,1790,1966,2768,8113,9837,8964,8653,7230,11500,1834,2212,3170,5523
150,7895,1314,1209,1406,1468,2694,5851,8110,9497,10843,10895,1801,2008,2731,7834,9307,8900,8889,8129,11374,1817,2168,2963,4706
155,7008,1310,1229,1439,1358,2619,5781,7959,9329,10724,10827,1776,1979,2663,8326,9714,8701,8584,6822,11282,1790,2413,2884,4560
160,6600,1272,1180,1399,1336,2614,5397,7861,9172,11057,10764,1822,1936,2614,7721,9167,8574,8714,6590,11200,1756,2161,2829,4532
165,6229,1260,1166,1367,1322,2557,5299,7755,9252,10921,10713,1947,1948,2567,7780,8704,8699,8140,6369,11031,1757,2108,2753,4143
170,5541,1248,1144,1328,1343,2549,5252,7714,9128,10344,10590,1876,1973,2527,7499,8687,8463,9413,5999,10880,1732,2110,2713,4595
175,5112,1224,1138,1306,1310,2620,5178,7664,11821,10845,10366,1923,1944,2576,8164,8308,9099,8806,6018,10774,1715,2114,2683,4492
180,4817,1179,1115,1300,1270,2565,4918,7847,8511,10665,10248,1930,1928,2690,6959,8068,7907,9314,5097,10165,1742,2081,2622,4140
0,,1415,2276,2682,,2842,2824,2811,2732,2839,2873,2835,2994,2914,2734,2737,2814,2706,2923,2904,2802,2898,2801,2836
5,,1336,1723,2218,,3621,3675,3755,3502,3710,3656,3207,3652,3728,3767,3585,3800,3525,3690,3676,3611,3690,3702,3738
10,,1396,1614,1984,,4481,4649,4641,4377,4747,4576,2954,3766,4581,4746,4689,4778,4614,4717,4705,4770,4797,4674,4803
15,,1445,1592,1882,,5104,5558,5597,5378,5716,5586,2780,3737,5081,5839,5719,5952,5574,5827,5918,5613,6009,5874,6043
20,,1472,1558,1807,,5619,6629,6601,6278,6788,6787,2619,3645,5503,7003,6848,7269,6600,6951,7193,5417,6706,7002,7126
25,,1487,1536,1737,,5764,7353,7266,7147,7711,7620,2491,3409,5547,7908,7939,8394,7534,7838,8314,4401,6212,7709,8020
30,,1493,1527,1669,,5587,7812,7678,7719,8611,8408,2439,3261,5443,8733,8742,9242,8361,8751,9312,3743,5350,7744,8620
35,,1481,1518,1646,,5520,8063,8308,8218,9033,9018,2375,3113,5343,9146,9298,10048,8669,9568,9986,3402,4713,7217,8957
40,,1490,1496,1617,,5312,8168,8646,8574,9405,9456,2321,3019,5109,9286,9855,10572,9124,10304,10678,3086,4241,6556,8859
45,,1502,1484,1599,,5020,8253,8984,8834,9704,9688,2224,2870,5218,9414,10014,10884,9415,10887,11000,2895,3926,6023,8515
50,,1488,1472,1580,,4860,8187,9216,9291,10196,9982,2198,2884,4998,9678,10381,11075,9575,10504,11310,2779,3693,5657,8232
55,,1471,1453,1562,,4781,7909,9233,9065,10007,10359,2144,2788,4692,10018,10547,11426,9597,10901,11671,2639,3533,5429,7879
60,,1471,1462,1554,,4612,8069,9458,9173,10158,10221,2416,2728,4523,9651,10696,11677,9658,11402,11534,2527,3372,4940,7482
65,,1471,1483,1531,,4384,8058,9053,9496,10339,10313,2251,2627,4676,9671,11018,11569,9760,11490,11579,2425,3264,4698,8202
70,,1460,1458,1533,,4357,7927,9344,9205,10237,10745,2134,2557,4599,9613,12095,11706,9753,11603,11772,2362,3126,4484,7849
75,,1465,1485,1560,,4071,7572,9177,9149,10211,10349,2241,2423,4213,9527,10546,11773,9998,11652,11967,2305,3182,4250,7666
80,,1450,1465,1498,,4072,7465,8998,9040,10336,10640,2231,2394,4160,9440,10731,11843,9266,11803,12032,2222,3075,4107,7341
85,,1458,1476,1473,,3842,7219,8979,9427,10135,10766,2217,2330,4046,9355,10461,11643,9342,11793,12098,2176,2903,3952,6998
90,,1479,1461,1493,,3843,6996,9162,9312,10176,10813,2192,2278,4175,9268,10372,11426,9179,11689,12033,2137,2780,3804,6880
95,,1340,1469,1421,,3696,6788,8925,8980,10114,12271,2166,2226,3781,9189,10197,11508,8972,11753,12201,2095,2742,3683,6437
100,,1415,1450,1460,,3588,6805,8868,8790,10198,10274,2139,2229,3986,9066,10514,11357,8958,12536,12211,2081,2718,3560,6565
105,,1456,1454,1434,,3560,7164,8591,8724,10183,10310,2121,2162,3671,9041,10081,11389,8841,11950,12063,2045,2642,3477,6285
110,,1440,1456,1465,,3425,6491,8630,8648,10087,11545,2073,2180,3798,8878,9940,11201,8696,11764,11856,2013,2604,3356,6097
115,,1441,1458,1440,,3376,6228,8594,8676,10099,12564,1930,2113,3471,9221,9873,11171,8342,12649,12121,1998,2568,3282,5975
120,,1426,1461,1433,,3299,6593,8552,8613,10034,10012,1870,2174,3642,8988,9639,11180,8360,11837,11812,1986,2529,3188,5096
