Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01
0,,1388,2711,2625,2940,2614,2762,2778,2737,2891,2657,2710,2640,2703,2660,2710,2759,2830,2744,2751
5,,1276,3302,3284,3789,3434,3554,3578,3515,3740,3438,2698,3212,3338,3434,3346,3510,3615,3470,3700
10,,1303,3904,3977,4582,4132,4276,4417,4301,4653,4161,1829,2517,3517,4244,4194,4307,4453,4249,4573
15,,1338,4161,4587,5312,4927,4958,5148,5142,5440,4968,1553,1936,2638,4428,4947,5128,5323,4978,5445
20,,1354,3687,4939,5974,5711,5670,5967,5833,6275,5720,1465,1701,2110,3614,5559,6014,6201,5711,6359
25,,1361,3113,4823,6287,6248,6140,6568,6474,6980,6410,1421,1604,1874,2818,5839,6628,6948,6377,7229
30,,1360,2604,4520,6426,6664,6510,6837,7057,7524,6916,1387,1544,1767,2276,5854,7069,7586,6883,7927
35,,1346,2232,4107,6317,6946,6740,7247,7305,8099,7312,1351,1498,1720,2043,5359,7619,8055,7199,8398
40,,1344,1991,3678,6059,6992,6720,7321,7439,8350,7692,1331,1461,1673,1959,4426,7957,8308,7454,8965
45,,1342,1883,3194,5687,7040,6720,7408,7529,8522,7913,1317,1455,1645,1893,3676,8194,8560,7607,9011
50,,1328,1776,2865,5285,6851,6663,7375,7989,8734,7912,1292,1427,1621,1836,3109,8295,8616,7809,9273
55,,1314,1706,2595,4872,6625,6547,7248,7766,8781,8140,1302,1433,1621,1788,2768,8409,8751,7888,9636
60,,1322,1667,2376,4488,6389,6432,7217,7850,8780,8220,1284,1426,1599,1768,2585,8405,9025,7824,9778
65,,1317,1624,2231,4131,6199,6315,7034,7661,8860,8235,1273,1430,1592,1735,2466,8360,8951,7943,9719
70,,1310,1594,2127,3805,5979,6207,6928,7581,8964,8234,1257,1408,1566,1716,2363,8338,8956,8014,9821
75,,1307,1560,2069,3484,5729,5962,6782,7408,8918,8298,1275,1391,1568,1696,2280,8041,8923,7974,9915
80,,1311,1553,1971,3272,5582,5817,6667,7336,8798,8360,1248,1395,1568,1670,2230,7553,8999,8059,9879
85,,1290,1515,1902,3065,5337,5683,6498,7147,8785,8676,1237,1386,1556,1676,2172,6831,8961,8058,10007
90,,1302,1502,1876,2893,5052,5480,6338,6999,8677,8656,1239,1376,1533,1639,2136,6049,9005,7980,9935
95,,1304,1481,1830,2743,4835,5316,6181,6912,8719,8821,1248,1363,1526,1626,2106,5411,9000,8235,10055
100,,1275,1477,1794,2641,4602,5101,6056,6675,8430,8407,1235,1355,1499,1628,2082,4846,8955,8273,9988
105,,1275,1469,1763,2567,4358,4920,5795,6576,8258,8790,1220,1355,1524,1606,2046,4490,8811,8270,10062
110,,1269,1449,1753,2469,4158,4718,5661,6443,8026,8748,1231,1356,1492,1608,2024,4208,8719,8272,10073
115,,1286,1432,1705,2398,3938,4532,5445,6230,7805,8624,1225,1347,1488,1591,2011,3936,8534,8264,10149
120,,1290,1444,1720,2325,3753,4302,5274,5954,7589,8378,1219,1346,1497,1589,1984,3767,8149,8202,10203
125,,1288,1423,1700,2283,3606,4129,5038,5825,7335,8301,1234,1343,1492,1574,1960,3609,7764,8391,10173
130,,1267,1425,1666,2225,3448,3942,4832,5548,7051,8062,1215,1356,1474,1582,1940,3486,7441,8352,10094
135,,1257,1453,1647,2182,3325,3791,4606,5370,6777,7813,1215,1330,1465,1559,1921,3363,6775,8187,10038
140,,1135,1343,1632,2142,3211,3658,4440,5140,6522,7516,1219,1332,1469,1554,1917,3267,6342,8119,9943
145,,1117,1299,1622,2094,3101,3487,4259,4922,6262,7173,1205,1336,1449,1560,1888,3179,5763,7901,9715
150,,1181,1167,1603,2069,2998,3378,4095,4763,6003,6922,1212,1328,1446,1552,1871,3084,5175,7592,9460
155,,1074,1194,1601,2039,2919,3389,3947,4619,5686,6648,1222,1330,1446,1522,1859,3025,4884,7284,9204
160,,1120,1179,1585,2030,2845,2770,3793,4479,5481,6394,1197,1333,1447,1527,1898,2968,4617,6860,8834
165,,1030,1150,1584,2052,2779,2722,3672,4202,5246,6006,1197,1310,1442,1525,1837,2912,4290,6509,8418
170,,1026,1123,1583,2019,2738,2808,3517,4092,5072,5528,1207,1321,1436,1505,1817,2856,4074,6110,8020
175,,1017,1124,1573,1987,2690,2736,3407,4040,4851,5348,1200,1316,1445,1508,1844,2817,3903,5820,7669
180,,1003,1109,1340,1972,3131,2723,3317,3935,4705,5199,1195,1307,1439,1496,1799,2754,3751,5469,7279
0,2601,1457,2770,2624,2653,2698,3040,2868,2738,2727,2835,2764,2700,2731,2654,2771,2835,2694,2716,2803
5,3426,1316,3370,3230,3507,3365,3850,3700,3485,3469,3689,2733,3177,3349,3379,3518,3714,3327,3477,3654
10,4257,1337,4021,3920,4295,4103,4706,4551,4331,4332,4608,1842,2543,3382,4116,4322,4605,4048,4305,4576
15,5159,1386,4228,4480,5134,4800,5523,5350,5132,5194,5403,1578,1944,2538,4250,5207,5443,4968,5199,5570
20,5805,1394,3827,4790,5761,5572,6313,6161,5888,5959,6274,1477,1699,2007,3445,5781,6209,5816,6016,6508
25,6314,1416,3155,4762,6065,6043,6893,6884,6511,6589,6959,1415,1588,1816,2590,6003,7024,6350,6705,7463
30,6603,1385,2608,4407,6289,6361,7224,7300,7116,7181,7774,1399,1537,1688,2240,5684,7533,6891,7213,8172
35,6957,1376,2219,4006,6012,6384,7316,7624,7486,7480,8022,1359,1494,1648,2019,4954,7921,7364,7629,8816
40,7317,1366,1986,3462,5829,6395,7412,7737,7545,7748,8511,1351,1464,1618,1898,4004,8083,7707,7981,9126
45,7351,1362,1888,3065,5476,6255,7418,7708,7707,8057,8912,1333,1445,1579,1851,3273,8410,7832,8281,9500
50,7357,1347,1791,2736,5221,6102,7260,7707,7599,8147,9033,1320,1430,1553,1815,2795,8366,8101,8448,9738
55,7533,1347,1728,2483,4712,5970,7169,7544,7578,8358,9138,1306,1410,1528,1765,2585,8332,8247,8596,9974
60,7604,1353,1683,2300,4368,5740,7001,7385,7582,8305,9051,1302,1402,1507,1729,2414,8094,8336,8712,10248
65,7700,1347,1650,2161,3962,5556,6779,7253,7382,8271,9157,1292,1409,1493,1703,2315,7561,8380,9029,10367
70,7711,1339,1626,2059,3634,5323,6583,7137,7221,8276,9386,1284,1433,1482,1704,2234,6883,8392,8966,10285
75,7918,1333,1597,1972,3359,5117,6389,6892,7106,8154,9149,1262,1418,1465,1665,2175,5994,8485,9135,10407
80,8083,1329,1554,1913,3133,4979,6221,6769,6914,8049,9260,1269,1388,1462,1627,2144,5213,8514,9107,10540
85,8278,1341,1550,1859,2966,4739,5983,6559,6767,7963,9277,1262,1420,1455,1625,2086,4659,8439,9181,10643
90,7316,1325,1535,1807,2795,4535,5781,6382,6599,7793,9104,1264,1377,1428,1618,2058,4241,8448,9237,10647
95,7361,1316,1519,1759,2693,4302,5636,6184,6397,7586,9079,1266,1373,1434,1612,1998,3923,8296,9327,10807
100,7356,1320,1504,1730,2605,4073,5383,6239,6214,7413,8857,1266,1405,1422,1604,1971,3694,8039,9342,10732
105,7471,1315,1495,1708,2503,3854,5145,5818,6050,7232,8786,1254,1367,1420,1587,1945,3501,7635,9385,10694
110,7197,1313,1466,1699,2451,3695,4954,5615,5922,7038,8816,1255,1375,1411,1582,1932,3371,7260,9369,10792
115,6439,1314,1461,1667,2370,3523,4738,5461,5634,6803,8657,1262,1363,1409,1555,1933,3250,6745,9332,10768
120,5895,1322,1459,1644,2323,3375,4539,5212,5438,6553,8342,1244,1353,1402,1539,1922,3136,6200,9283,10714
125,6038,1511,1451,1857,2264,3223,4324,4983,5237,6609,8017,1238,1344,1429,1538,1885,3089,5706,9094,10570
130,5577,1341,1455,1763,2292,3118,4155,4877,5050,6328,7713,1245,1335,1380,1530,1870,3032,5234,8825,10462
135,5475,1228,1425,1545,2148,3015,3978,4664,4823,6060,7396,1241,1353,1394,1525,1859,2947,4888,8543,10219
140,5854,1144,1429,1419,2017,2909,3845,4583,4633,5587,7062,1247,1339,1383,1514,1836,2906,4621,8174,9906
145,5016,1129,1415,1378,1759,2810,3714,4265,4477,5386,6817,1236,1335,1398,1508,1826,2848,4368,7797,9548
150,4514,1105,1404,1339,2021,2728,3571,4091,4329,5175,6466,1242,1331,1373,1496,1815,2794,4143,7281,9176
155,4199,1080,1446,1309,1832,2635,3452,3949,4157,4957,6132,1225,1327,1371,1506,1800,2760,3976,6903,8695
160,3945,1078,1245,1272,2018,2595,3323,3906,4047,4762,5844,1227,1331,1361,1488,1789,2735,3817,6478,8280
165,3626,1060,1213,1261,1799,2527,3250,3697,3701,4613,5591,1220,1311,1357,1514,1766,2691,3676,6134,7847
170,3375,1063,1198,1217,1683,2469,3143,3555,3574,4457,5349,1227,1312,1343,1460,1758,2645,3565,5796,7484
175,3008,1035,1198,1214,1677,2432,3082,3447,3223,4284,5143,1220,1306,1349,1476,1778,2701,3461,5471,7115
180,2739,1038,1216,1211,1538,2438,2993,3366,3444,4158,4940,1211,1320,1342,1462,1767,2596,3356,5233,6799
0,2465,1379,2640,2648,2756,2608,2751,2849,2703,2675,2693,2721,2677,2794,2590,2605,2558,2634,2712,2726
5,3248,1251,3292,3320,3510,3254,3428,3618,3601,3577,3424,2663,3149,3479,3361,3327,3444,3471,3489,3626
10,4083,1304,3954,3986,4331,4033,4278,4545,4369,4360,4332,1794,2391,3408,3944,4114,4372,4208,4326,4485
15,4900,1328,3917,4564,5166,4810,4994,5529,5142,5307,5142,1519,1848,2453,4170,4777,5188,5050,5139,5385
20,5567,1355,3409,4850,5618,5492,5757,6221,5929,5994,5982,1436,1648,1981,3281,5498,6025,5852,5967,6317
25,5987,1324,2775,4708,5814,5916,6223,6877,6542,6610,6663,1392,1554,1802,2542,5859,6863,6552,6656,7104
30,6461,1323,2291,4293,5884,6208,6591,7471,7000,7130,7166,1354,1497,1710,2112,5793,7483,7085,7113,7796
35,6675,1290,1993,3877,5653,6186,6798,7620,7217,7483,7694,1327,1473,1633,1923,5126,8008,7534,7591,8144
40,6992,1295,1823,3387,5278,6065,6902,7896,7359,7444,8130,1311,1445,1596,1828,4187,8359,7866,7743,8680
45,6741,1275,1720,3001,4963,5941,6802,7788,7395,7794,8192,1292,1413,1571,1768,3359,8520,8173,7997,8823
50,6895,1264,1661,2660,4520,5775,6687,7716,7281,7740,8342,1264,1398,1556,1708,2855,8627,8060,8116,8976
55,6762,1250,1617,2414,4183,5585,6538,7459,7302,7631,8452,1258,1397,1533,1694,2532,8639,8396,8134,9172
60,6759,1243,1571,2232,3820,5478,6395,7360,7275,7692,8471,1259,1370,1533,1641,2357,8513,8482,8265,9315
65,6623,1235,1606,2128,3486,5193,6136,7146,7205,7498,8581,1248,1366,1511,1620,2244,8355,8481,8221,9359
70,6446,1229,1439,2040,3229,5018,5976,6924,7069,7334,8529,1239,1359,1507,1618,2142,7783,8433,8428,9320
75,6480,1210,1369,1962,2996,4796,5797,6720,6918,7060,8599,1235,1343,1484,1598,2081,7078,8301,8339,9301
80,6316,1207,1370,1906,2788,4593,5588,6499,6753,6910,8473,1235,1332,1472,1594,2023,6229,8227,8426,9232
85,6251,1198,1325,1837,2628,4387,5415,6287,6591,6825,8529,1223,1337,1477,1574,1962,5486,8244,8507,9441
90,5628,1187,1328,1827,2503,4181,5201,6088,6452,6473,8401,1216,1329,1468,1563,1940,4836,8121,8479,9367
95,5698,1201,1338,1798,2385,3993,5009,5913,6267,6137,8283,1218,1324,1458,1565,1893,4503,7867,8503,9320
100,6527,1209,1329,1659,2327,3785,4808,5714,6115,5962,8108,1221,1315,1460,1554,1866,4076,7735,8564,9306
105,5567,1109,1336,1539,2234,3613,4579,5500,5915,5316,7971,1212,1334,1443,1544,1826,3860,7337,8514,9182
110,5590,1063,1412,1474,2204,3448,4388,5284,5706,5034,7768,1212,1325,1450,1516,1812,3645,6920,8448,9236
115,5218,1078,1327,1470,2170,3308,4169,5067,5452,4884,7503,1205,1321,1451,1496,1793,3461,6412,8376,9095
120,4504,1072,1361,1385,2115,3192,3998,4850,5272,4637,7321,1217,1325,1429,1494,1762,3215,5939,8174,8785
125,4431,1032,1248,1359,2076,3080,3840,4687,5046,4342,7137,1202,1303,1427,1464,1745,3115,5416,7958,8142
130,3989,1023,1184,1326,2037,3088,3578,4481,4917,4154,6223,1228,1303,1421,1456,1739,3186,5045,7617,8410
135,3783,1043,1166,1313,1978,2636,3345,4314,4810,3973,5512,1123,1309,1422,1443,1646,3703,5154,7256,7216
140,3603,1006,1146,1310,1965,2180,3197,4122,3753,3826,5219,1151,1304,1426,1432,1646,3274,4111,6862,7211
145,3073,981,1073,1307,1919,2156,2867,3996,3527,3634,4804,1148,1292,1424,1421,1617,3086,3846,6270,6275
150,2770,983,1077,1518,1897,1976,2945,3832,3329,3461,4413,1111,1309,1353,1411,1617,3017,3689,5548,7372
