Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01,tBid100,tBid30,tBid10,tBid3
0,2251,1429,2176,2220,2206,2154,2224,2301,2303,2250,2223,2157,2233,2258,2270,2204,2295,2239,2363,2282,2237,2244,2277,2302
5,3015,1410,2779,2856,2919,2824,2985,3027,2993,3152,3146,2766,2975,2964,3208,3128,3124,2957,3226,3111,2968,3161,3135,3257
10,4178,1478,3557,3689,3820,3754,3922,3975,4031,4147,4114,3532,3867,4003,4245,4191,4160,4011,4176,4203,4010,4194,4243,4481
15,5496,1559,4478,4733,4805,4754,4993,5028,5186,5321,5310,4299,4874,5250,5461,5339,5256,5143,5300,5405,5223,5493,5600,5685
20,6760,1607,5431,5811,5824,5712,6001,6175,6272,6427,6500,5231,5853,6256,6639,6562,6392,6315,6413,6607,6381,6761,6786,6938
25,7629,1627,6262,6609,6578,6505,6798,7134,7163,7304,7405,6188,6852,7334,7644,7545,7297,7211,7467,7681,7306,7734,7740,7766
30,8327,1644,6708,7163,7210,7208,7507,7938,8064,8020,8234,6871,7372,8014,8653,8449,7985,7976,8139,8418,8091,8532,8458,8573
35,8855,1639,7221,7588,7722,7743,8086,8422,8466,8616,8836,7738,7879,8695,9237,9115,8714,8538,8740,9093,8801,9208,8996,9020
40,9307,1642,7513,7921,8100,8069,8429,8961,8896,9002,9236,7918,8186,9030,9620,9613,9192,8996,9219,9389,9127,9727,9434,9360
45,9667,1633,7805,8059,8233,8256,8762,9223,9318,9368,9649,8365,8574,9466,9939,10039,9478,9241,9670,9729,9560,10145,9780,9747
50,9967,1646,8019,8344,8388,8462,8890,9495,9555,9528,9709,8204,8701,9805,10274,10375,9712,9520,10634,10515,9867,10222,9976,10486
55,10131,1645,8070,8483,8760,8764,9066,9635,9790,9770,9944,8573,9931,10121,10539,10590,10123,9541,10539,10499,10036,10570,10065,10235
60,10503,1648,8336,8586,8799,8841,9203,9898,9720,9876,10134,9082,8892,10142,10873,10715,10289,9902,10415,10395,10179,10559,10257,10232
