Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01
0,1860,1564,2117,2263,1962,1866,1924,1855,1847,1842,1836,1920,2172,2174,1882,1886,1872,1808,1891,1920
5,3071,1678,2387,3104,3435,3043,3098,2943,2956,2892,2962,1941,2277,2770,3212,2993,2989,2950,2961,3098
10,5243,1825,2550,3517,4617,5003,4972,4778,4898,4636,4848,2015,2379,2712,4919,4902,4868,4881,4828,5047
15,7477,1972,2633,3782,5479,6785,6970,6730,6858,6614,6987,2062,2390,2715,5521,6887,6821,6950,6768,7086
20,9143,2054,2660,3862,5934,8316,8496,8369,8652,8241,8438,2083,2419,2710,5341,8681,8514,8651,8498,8765
25,10390,2076,2602,3753,6195,9093,9752,9581,9915,9665,9986,2139,2414,2639,4866,10016,10004,10043,9839,10220
30,11456,2115,2501,3558,6095,9616,10575,10418,10978,10725,11226,2117,2387,2565,4309,11083,11035,11217,10866,11193
35,12134,2106,2438,3353,5862,9930,11146,11143,11882,11524,12091,2128,2338,2500,3966,11630,12024,11955,11699,12092
40,12704,2112,2401,3164,5528,10096,11491,11912,12624,12188,12736,2130,2327,2519,3656,11782,12549,12978,12607,12882
45,13261,2141,2374,3000,5233,10036,11679,11777,13105,12724,13302,2145,2304,2457,3535,11633,12884,13465,13035,13488
50,13459,2128,2324,2901,4820,9820,11754,12322,13556,13222,13751,2176,2300,2434,3406,10817,13500,13971,13576,13893
55,14165,2127,2314,2780,4555,9640,11644,12423,13609,13426,14161,2194,2281,2424,3254,9860,13681,14543,13926,14230
60,14210,2127,2310,2709,4299,9350,11513,12128,13862,13792,14394,2178,2288,2439,3193,8902,13763,14971,13744,14615
65,14296,2128,2281,2642,4106,9046,11463,12405,14048,13950,14680,2202,2276,2400,3116,7981,13900,14992,14294,14657
70,14495,2121,2255,2597,3892,8834,11190,12244,14000,14024,14748,2177,2219,2362,3058,7111,13902,15357,14539,14725
75,14560,2113,2258,2556,3748,8517,11046,12228,14076,14196,14860,2175,2269,2349,2965,6444,14155,15822,14767,14714
80,14760,2101,2218,2517,3610,8311,10832,12220,14106,14193,14948,2178,2261,2337,2941,5946,14155,15987,14760,15072
85,14777,2098,2216,2467,3492,8071,10713,12233,13982,14324,15059,2153,2228,2331,2882,5655,13818,15957,14972,14945
90,14783,2093,2194,2440,3346,7905,10467,12093,13913,14457,14802,2262,2267,2325,2856,5335,13548,15877,14995,15536
95,14959,2093,2202,2447,3284,7623,10353,12039,13859,14285,15094,2269,2211,2328,2788,5065,12869,16333,15121,15546
100,14925,2087,2176,2405,3225,7280,10184,11940,13879,14751,15173,2255,2244,2313,2755,4815,12136,16396,14927,15455
105,15043,2070,2152,2397,3148,7144,10004,11831,13750,14820,15137,2233,2230,2305,2732,4725,11377,16457,14494,15476
110,15081,2068,2160,2363,3099,6911,9860,11733,13728,14648,15134,2253,2228,2272,2705,4587,10550,16592,14775,15473
115,15001,2063,2141,2338,3060,6619,9631,11580,13655,14997,15260,2322,2231,2328,2678,4433,9804,16590,14583,15615
120,15081,2059,2121,2324,2939,6422,9463,11461,13383,14928,15247,2301,2233,2301,2633,4333,9139,16582,14986,15603
125,15058,2054,2116,2329,2936,6143,9285,11270,13228,14985,15202,2308,2221,2303,2613,4224,8561,16560,15153,15504
130,15751,2055,2115,2300,2904,5957,9072,11149,13104,14925,15212,2273,2227,2282,2605,4100,8044,16989,15355,15629
135,15841,2039,2088,2264,2858,5749,8901,10911,12922,14966,15216,2272,2229,2294,2590,4050,7663,16624,14825,15588
140,15774,2127,2095,2284,2827,5563,8709,10822,12850,14878,14962,2274,2204,2272,2570,3949,7273,16851,15205,15549
145,15738,2125,2080,2254,2789,5396,8473,10606,12515,14945,15233,2259,2187,2259,2569,3962,6962,16651,15048,15628
150,15572,2103,2068,2247,2775,5202,8213,10378,12348,14801,15129,2261,2161,2267,2538,3921,6657,16562,15276,15681
155,13186,2097,2049,2238,2740,4989,8056,10165,12117,14774,15184,2234,2177,2216,2572,3729,6423,16348,15401,15495
160,14170,2072,2041,2199,2692,4917,7814,9944,11922,14638,15063,2233,2212,2283,2587,3643,6183,16389,15245,15547
165,12949,2080,2019,2202,2670,4746,7532,9627,11630,14780,14994,2219,2229,2279,2544,3613,5942,15951,15488,15405
170,11993,2067,2005,2198,2658,4623,7338,9318,11351,14832,14952,2202,2220,2289,2564,3602,5771,15901,15549,16091
175,11622,2061,1998,2180,2616,4477,7153,9156,11071,14518,14641,2200,2229,2286,2536,3557,5585,14677,15392,15765
